Detected 48 corners (u,v pixels):
134.983	58.892
163.346	59.993
194.276	59.9358
224.273	59.9024
253.87	60.91
283.576	60.7586
313.597	61.5621
343.614	61.8654
121.673	69.1169
154.709	68.8135
185.415	69.941
217.39	70.1673
248.865	71.0361
280.548	71.3092
312.034	71.6083
343.854	72.2074
110.67	79.6278
141.671	81.07
176.986	80.894
210.307	81.2638
243.695	81.9646
276.925	82.1755
310.433	82.8485
344.012	82.977
94.568	92.2488
131.279	92.7512
166.521	93.5956
202.318	93.7873
237.547	93.8587
272.932	94.3216
308.53	94.6312
344.322	94.9349
79.5781	105.618
116.295	107.301
155.902	106.999
192.78	107.571
230.602	107.552
268.38	108.02
306.465	108.446
344.634	108.736
57.7191	124.537
101.481	123.205
142.371	123.387
182.592	123.728
222.86	125.076
263.356	124.706
304.069	124.874
344.984	125.616
