a_cm,b_cm,x_px,y_px
15,15.6,0,240
15,17.6,21,215
15,19.9,42,188
15,22.7,62,162
15,25.4,82,134
15,29.8,103,100
15,33.9,124,82
15,40.2,144,55
15,47.8,165,28
15,57.4,188,0
